Objectid,Year,Metro,Cbsa,Employment,Labor_Force,Unemployment,Unemployment_Rate,Source
0,1990,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",1631467,1715575,84108,0.049026128,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
1,1990,Bay Area,Bay Area,3178273,3303274,125001,0.037841548,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
2,1990,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",3995359,4267115,271756,0.06368612,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
3,1990,Dallas,"Dallas-Fort Worth-Arlington, TX",2180723,2299607,118884,0.051697529,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
4,1990,Houston,"Houston-Sugar Land-Baytown, TX",1925576,2029817,104241,0.051354876,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
5,1990,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",1940835,2087061,146226,0.070063117,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
6,1990,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8248200,8715995,467795,0.053670866,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
7,1990,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2609893,2747659,137766,0.05013941,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
8,1990,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2312497,2386342,73845,0.030944852,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
9,1991,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",1644577,1731104,86527,0.04998371,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
10,1991,Bay Area,Bay Area,3113772,3291066,177294,0.053871299,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
11,1991,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",3945872,4261519,315647,0.074069129,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
12,1991,Dallas,"Dallas-Fort Worth-Arlington, TX",2180443,2329265,148822,0.063892258,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
13,1991,Houston,"Houston-Sugar Land-Baytown, TX",1961289,2081001,119712,0.057526162,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
14,1991,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",1920706,2098924,178218,0.08490922,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
15,1991,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",7973909,8600116,626207,0.072813785,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
16,1991,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2564878,2756704,191826,0.069585273,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
17,1991,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2308832,2418723,109891,0.045433479,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
18,1992,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",1678842,1788988,110146,0.061568887,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
19,1992,Bay Area,Bay Area,3098023,3315936,217913,0.06571689,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
20,1992,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",3992370,4341022,348652,0.080315649,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
21,1992,Dallas,"Dallas-Fort Worth-Arlington, TX",2202931,2367823,164892,0.069638651,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
22,1992,Houston,"Houston-Sugar Land-Baytown, TX",1979374,2134111,154737,0.072506538,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
23,1992,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",1927881,2125673,197792,0.093049119,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
24,1992,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",7830110,8613796,783686,0.09098033,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
25,1992,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2539264,2748547,209283,0.07614314,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
26,1992,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2330046,2456007,125961,0.051286906,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
27,1993,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",1752371,1849396,97025,0.052463074,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
28,1993,Bay Area,Bay Area,3103029,3324515,221486,0.066622049,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
29,1993,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4056722,4393523,336801,0.076658527,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
30,1993,Dallas,"Dallas-Fort Worth-Arlington, TX",2250484,2398501,148017,0.061712294,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
31,1993,Houston,"Houston-Sugar Land-Baytown, TX",2008180,2169480,161300,0.074349614,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
32,1993,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",1977352,2157398,180046,0.083455162,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
33,1993,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",7859947,8581388,721441,0.084070432,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
34,1993,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2548072,2734868,186796,0.068301651,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
35,1993,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2340478,2453809,113331,0.046185746,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
36,1994,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",1836847,1925436,88589,0.046009839,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
37,1994,Bay Area,Bay Area,3136142,3341354,205212,0.061415821,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
38,1994,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4175355,4443726,268371,0.060393238,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
